Jumlah Pohon Menghasilkan dan Produksi Buah Menurut Jenis Tanaman di Kota Batu Tahun 2016 ,,,,,,,,
,,,,,,,,
Jenis Tanaman ,Triwulan I ,,Triwulan II,,Triwulan III,,Triwulan IV,
,Jumlah Tanaman ,Produksi ,Jumlah Tanaman,Produksi,Jumlah Tanaman,Produksi,Jumlah Tanaman,Produksi
Alpukat,52258,16664,52283,11800,52233,11532,52308,12690
Anggur,2000,0,2000,0,2000,0,2000,200
Apel,2122829,163012,2122179,105656,2119729,127076,2118679,146362
Belimbing,285,35,285,35,285,17,360,30
Duku/ Langsat/ Kokosan,0,0,0,0,0,0,0,0
Durian,14053,3692,14203,1200,14203,835,14303,1224
Jambu Air,1038,53,1188,73,1238,84,1313,110
Jambu Biji,37331,4275,40131,6485,40181,6075,40131,5000
Jengkol,0,0,0,0,0,0,0,0
Jeruk Siam/ Keprok,221402,9353,222252,41625,223652,64930,225052,25615
Jeruk Besar,0,0,0,0,0,0,0,0
Mangga,5245,89,5245,0,5245,10800,5245,824
Manggis,10,0,10,0,10,0,10,0
Markisa/ Konyal,0,0,0,0,0,0,0,0
Melinjo,0,0,0,0,0,0,0,0
Nangka / Cempedak,52790,5997,52370,4957,52170,7001,51970,5622
Nenas,0,0,0,0,0,0,0,0
Pepaya,2633,136,3233,199,3333,406,3683,408
Petai,251,56,265,14,265,0,290,37
Pisang,30642,2170,29092,2429,26207,41444,24707,1675
Rambutan,1898,0,1898,0,1873,0,1878,0
Salak,0,0,0,0,0,0,0,0
Sawo,0,0,0,0,0,0,0,0
Sirsak,180,12,380,12,380,10,380,28
Sukun,6200,2895,6150,357,6100,303,6050,186
,,,,,,,,
Sumber : Dinas Pertanian dan Kehutanan Kota Batu,,,,,,,,
